[0.000000] (-) TimerEvent: {}
[0.000145] (-) JobUnselected: {'identifier': 'husky_base'}
[0.000163] (-) JobUnselected: {'identifier': 'husky_bringup'}
[0.000173] (-) JobUnselected: {'identifier': 'husky_control'}
[0.000181] (-) JobUnselected: {'identifier': 'husky_description'}
[0.000188] (-) JobUnselected: {'identifier': 'husky_desktop'}
[0.000196] (-) JobUnselected: {'identifier': 'husky_gazebo'}
[0.000204] (-) JobUnselected: {'identifier': 'husky_msgs'}
[0.000211] (-) JobUnselected: {'identifier': 'husky_robot'}
[0.000219] (-) JobUnselected: {'identifier': 'husky_simulator'}
[0.000226] (-) JobUnselected: {'identifier': 'husky_ur3_ignition'}
[0.000233] (-) JobUnselected: {'identifier': 'husky_viz'}
[0.000241] (-) JobUnselected: {'identifier': 'mobile_robotics'}
[0.000248] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.000255] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.000262] (-) JobUnselected: {'identifier': 'robotis_manipulator'}
[0.000269] (-) JobUnselected: {'identifier': 'trial_package'}
[0.000276] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000283] (-) JobUnselected: {'identifier': 'ur'}
[0.000291] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.000298] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000305] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000312] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000320] (-) JobUnselected: {'identifier': 'ur_description'}
[0.000327] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000334] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000342] (-) EventReactorShutdown: {}
